nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Asplenium gilliesii Hook.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/2.png?itok=mpmYIe3-,Aspleniaceae,Asplenium gilliesianum Hook. & Grev.,Hierba saxícola perenne,Nativa,Arica y Parinacota (AYP),4000-4000 m.,"Argentina, Bolivia y Perú",-,-
Asplenium macrosorum Bertero ex Colla,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3.png?itok=bvBahx-O,Aspleniaceae,"",Hierba epífita o terrestre perenne,Endémica,Juan Fernández (JFE),30-500 m.,-,-,-
Asplenium obtusatum G. Forst. var. obtusatum,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4.png?itok=1H_r6XAq,Aspleniaceae,"",Hierba perenne,Nativa,"Rapa Nui (IPA), Islas Desventuradas (IDE)",2-190 m.,-,-,-
Asplenium obtusatum G. Forst. var. sphenoides (Kunze) C. Chr. ex Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/5_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/5_1.jpg?itok=pP7T4oLD,Aspleniaceae,"Asplenium sphenoides Kunze, Asplenium chondrophyllum Bertero ex Colla, Asplenium consimile J. Remy, Asplenium obliquum G. Forst. var. sphenoides (Kunze) Mett., Asplenium obliquum G. Forst. var. chondrophyllum (Bertero ex Colla) Mett.",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",2-500 m.,-,-,-
Asplenium patagonicum R.A. Rodr. & R. Guzmán,http://catalogoplantas.udec.cl/sites/default/files/6_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/6_1.jpg?itok=U-vHMfv4,Aspleniaceae,"Asplenium longifolium Phil. ex Gotschl., nom. nud., Asplenium monanthes auct. non L.",Hierba terrestre o saxícola perenne,Endémica,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Magallanes (MAG)",10-320 m.,-,-,-
Asplenium peruvianum Desv.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/7.png?itok=tnpFDqHo,Aspleniaceae,"Asplenium fragile C. Presl var. lomense Weath., Asplenium fragile C. Presl",Hierba saxícola perenne,Nativa,Antofagasta (ANT),200-200 m.,"Argentina, Bolivia y Perú",-,-
Asplenium polyodon G. Forst. var. squamulosum (C. Chr.) R.A. Rodr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/8.png?itok=KxbnNgqn,Aspleniaceae,Asplenium adiantoides (L.) C. Chr. var. squamulosum C. Chr.,Hierba perenne,Endémica,Rapa Nui (IPA),2-120 m.,-,Nehe nehe,-
Asplenium stellatum Colla,http://catalogoplantas.udec.cl/sites/default/files/9_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/9_1.jpg?itok=l6n-Md5D,Aspleniaceae,"Asplenium fernandezianum Kunze, Asplenium lunulatum Sw. var. stellatum (Colla) C. Chr.",Hierba perenne,Endémica,Juan Fernández (JFE),90-1800 m.,-,-,-
Asplenium trilobum Cav.,http://catalogoplantas.udec.cl/sites/default/files/10_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/10_1.jpg?itok=IkKekhgK,Aspleniaceae,"Asplenium trapezoides Sw., Asplenium parvulum Hook., Asplenium trilobum Cav. var. trapezoides (Sw.) G. Kunkel",Hierba epífita o terrestre perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",5-600 m.,Argentina,-,-
Asplenium triphyllum C. Presl,http://catalogoplantas.udec.cl/sites/default/files/11_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/11_1.jpg?itok=GX_cmMAB,Aspleniaceae,Asplenium imbricatum Hook. & Grev.,Hierba saxícola perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Coquimbo (COQ)",4300-4500 m.,"Argentina, Bolivia y Perú",-,-
Pleurosorus papaverifolius (Kunze) Fée,http://catalogoplantas.udec.cl/sites/default/files/12_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/12_1.jpg?itok=JKoNWQYu,Aspleniaceae,"Gymnogramme papaverifolia Kunze, Pleurosorus inmersus Fée, Gymnogramma chilensis Brack., Pleurosorus papaverifolius (Kunze) Fée var. nana Villagrán, Pleurosorus papaverifolius (Kunze) Fée var. hirsuta Villagrán, Asplenium ciliatum C. Presl ex Bertero, Asplenium subglandulosum (Hook. & Grev.) Salvo, Prada & Díaz subsp. papaverifolium (Kunze) Salvo, Prada & Díaz",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Aysén (AIS), Magallanes (MAG)",100-1800 m.,Argentina,-,-
Diplazium fuenzalidae Espinosa,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/13.png?itok=y8DyQ9kt,Athyriaceae,"Athyrium fuenzalidae (Espinosa) Gunckel, comb. illeg.",Hierba perenne,Endémica,Rapa Nui (IPA),200-400 m.,-,Nehe nehe,-
Blechnum arcuatum J. Remy,http://catalogoplantas.udec.cl/sites/default/files/14_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/14_1.jpg?itok=LKU37I0J,Blechnaceae,Blechnum bibreae Mett.,Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-1300 m.,Argentina,-,-
Blechnum asperum (Klotzsch) J.W. Sturm,http://catalogoplantas.udec.cl/sites/default/files/15_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/15_1.jpg?itok=rcHDQNva,Blechnaceae,"Lomaria aspera Klotzsch, Austroblechnum asperum (Klotzsch) Gasper & V.A.O. Dittrich",Hierba perenne,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",15-415 m.,-,-,-
Blechnum blechnoides Keyserl.,http://catalogoplantas.udec.cl/sites/default/files/16_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/16_1.jpg?itok=Mvwb7jmh,Blechnaceae,"Lomaria leyboldtiana Phil., Blechnum valdiviense C. Chr., Blechnum leyboldtianum (Phil.) C. Chr., Lomaria blechnoides auct. non Bory, Spicanta leyboldtiana (Phil.) Kuntze",Hierba perenne,Endémica,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",1-1100 m.,-,Iquide,-
Blechnum chilense (Kaulf.) Mett.,http://catalogoplantas.udec.cl/sites/default/files/17_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/17_1.jpg?itok=pLUEyoxO,Blechnaceae,"Lomaria chilensis Kaulf., Lomaria gilliesii Hook. & Grev., Lomaria reedii Phil., Blechnum gilliesii (Hook. & Grev.) Mett., Blechnum reedii (Phil.) Espinosa, Blechnum chilense (Kaulf.) Mett. var. reedii (Phil.) Looser, Blechnum chilense (Kaulf.) Mett. fma. imbricatum Kunkel, Blechnum cordatum auct. non (Desv.) Hieron., Parablechnum chilense (Kaulf.) Gasper & Salino",Subarbusto,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",5-1500 m.,Argentina,"Costilla de vaca, palmilla, quilquil, iquide",-
Blechnum corralense Espinosa,http://catalogoplantas.udec.cl/sites/default/files/18_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/18_1.jpg?itok=0lx8kPdp,Blechnaceae,Austroblechnum corralense (Espinosa) Gasper & V.A.O. Dittrich,Hierba perenne,Endémica,"Los Ríos (LRI), Los Lagos (LLA)",15-1200 m.,-,-,-
Blechnum cycadifolium (Colla) J.W. Sturm,http://catalogoplantas.udec.cl/sites/default/files/Pteridophyta%20-%20Blechnum%20cycadifolium_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/Pteridophyta%20-%20Blechnum%20cycadifolium_1.jpg?itok=TYiIBaAu,Blechnaceae,"Lomaria cycadifolia Colla, Lomaria lanuginosa Kunze, Blechnum lanuginosum (Kunze) J.W. Sturm, Blechnum magellanicum (Desv.) Mett. var. cycadifolium (Colla) C. Chr., Struthiopteris cycadifolia (Colla) Ching.",Arbusto,Endémica,Juan Fernández (JFE),180-1200 m.,-,-,-
Blechnum hastatum Kaulf.,http://catalogoplantas.udec.cl/sites/default/files/20_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/20_1.jpg?itok=BN_e-tmF,Blechnaceae,"Blechnum trilobum C. Presl, Blechnum ciliatum C. Presl, Lomaria hastata (Kaulf.) Kunze, Blechnum remotum C. Presl, Lomaria pubescens (Hook.) Kunze, Lomaria triloba (C. Presl) Fée, Blechnum hastatum Kaulf. var. minor Hook., Blechnum parvulum Phil., Blechnum australe L. var. triloba (C. Presl) Hieron., Blechnum australe L. var. hastata (Kaulf.) Hieron., Blechnum australe L. fma. trilobum (C. Presl) Rosenst., Blechnum auriculatum Cav. fma. remotum (C. Presl) C. Chr. & Skottsb., Blechnum auriculatum Cav. fma. parvula (Phil.) C. Chr. & Skottsb., Blechnum auriculatum Cav. var. trilobum (C. Presl) Osten & Herter, Blechnum auriculatum Cav. var. hastatum (Kaulf.) Looser, Blechnum auriculatum Cav. var. parvulum (Phil.) Looser, Blechnum hastatum Kaulf. fma. alternatum G. Kunkel, Blechnum hastatum Kaulf. fma. punctatum (Looser) G. Kunkel, Blechnum hastatum Kaulf. var. trilobum (C. Presl) G. Kunkel, Blechnum brevifolium G. Kunkel, Blechnum brevifolium G. Kunkel subsp. parvulum (Phil.) Kunkel fma. imbricatum G. Kunkel, Blechnum brevifolium G. Kunkel var. valdiviense G. Kunkel, Blechnum brevifolium G. Kunkel subsp. parvulum (Phil.) G. Kunkel, Blechnum brevifolium G. Kunkel var. brevifolium fma. nervosum G. Kunkel, Blechnum brevifolium G. Kunkel var. brevifolium fma. semidecurrens G. Kunkel, Blechnum brevifolium G. Kunkel var. brevifolium fma. acuminatum G. Kunkel, Taenitis sagittaefera Bory, Mesothema remotum (C. Presl) C. Presl, Mesothema trilobum (C. Presl) C. Presl, Parablechnum ciliatum (C. Presl) C. Presl, Blechnopteris hastata (Kaulf.) Trevis., Struthiopteris hastata (Kaulf.) Trevis., Struthiopteris remota (C. Presl) Trevis., Struthiopteris triloba (C. Presl) Trevis., Spicanta hastata (Kaulf.) Kuntze, Blechnum auriculatum auct. non Cav., Mesothema hastatum (Kaulf.) C. Presl",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Juan Fernández (JFE)",5-2500 m.,Argentina,"Palmilla, quilquil, arriquilquil",-
Blechnum longicauda C. Chr.,http://catalogoplantas.udec.cl/sites/default/files/21_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/21_1.jpg?itok=dkYdggFr,Blechnaceae,Cranfilia longicauda (C. Chr.) V.A.O. Dittrich,Hierba perenne,Endémica,Juan Fernández (JFE),5-500 m.,-,-,-
Blechnum magellanicum (Desv.) Mett.,http://catalogoplantas.udec.cl/sites/default/files/22_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/22_1.jpg?itok=L0AH8zs8,Blechnaceae,"Lomaria magellanica Desv., Lomaria setigera Gaudich., Blechnum magellanicum (Desv.) Mett. var. setigerum (Gaudich.) C. Chr., Blechnum magellanicum (Desv.) Mett. var. bipinnatifidum G. Kunkel, Lomariocycas magellanica (Desv.) Gasper & Salino",Arbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-2200 m.,Argentina,Katalapi,-
Blechnum microphyllum (Goldm.) C.V. Morton,http://catalogoplantas.udec.cl/sites/default/files/23_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/23_1.jpg?itok=wyntCBHX,Blechnaceae,"Lomaria microphylla Goldm., Lomaria australis Kunze, Lomaria gayana J. Remy, Blechnum gayanum (J. Remy) J.W. Sturm, Blechnum gayanum (J. Remy) J.W. Sturm fma. germainii (Hook.) Looser, Lomaria germainii Hook., Lomaria andicola Phil., Lomaria araucana Phil., Blechnum germanii (Hook.) H. Christ, Blechnum andicola (Phil.) C. Chr., Blechnum araucanum (Phil.) C. Chr., Blechnum poeppigianum J.W. Sturm, Austroblechnum microphyllum (Goldm.) Gasper & V.A.O. Dittrich",Hierba perenne,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",5-2600 m.,Argentina,-,-
Blechnum mochaenum G. Kunkel var. fernandezianum (Looser) de la Sota,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/24.png?itok=ASeQNsqz,Blechnaceae,"Blechnum blechnoides (Bory) Keyserl. var. fernandezianum Looser, Austroblechnum fernandezianum (Looser) Gasper & V.A.O. Dittrich",Hierba perenne,Endémica,Juan Fernández (JFE),100-1100 m.,-,-,-
Blechnum mochaenum G. Kunkel var. mochaenum,http://catalogoplantas.udec.cl/sites/default/files/25_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/25_1.jpg?itok=FI0UIyY3,Blechnaceae,"Lomaria lechleri T. Moore, Austroblechnum lechleri (T. Moore) Gasper & V.A.O. Dittrich",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-1350 m.,Argentina,-,-
Blechnum penna-marina (Poir.) Kuhn,http://catalogoplantas.udec.cl/sites/default/files/26_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/26_1.jpg?itok=0VxV4FYN,Blechnaceae,"Polypodium penna-marina Poir., Blechnum alpinum Mett., Blechnum alpinum Mett. var. elongatum Mett., Blechnum uliginosum (Phil.) C. Chr., Blechnum penna-marina (Poir.) Kuhn var. uliginosa (Phil.) C. Chr., Blechnum penna-marina (Poir.) Kuhn fma. polypodioides (Desv. ex Gaudich.) C. Chr., Blechnum penna-marina (Poir.) Kuhn var. polypodioides (Desv. ex Gaudich.) Looser, Lomaria polypodioides Desv. ex Gaudich., Lomaria uliginosa Phil., Lomaria uliginosa Phil. var. magellanica Phil., Polypodium penna-marina Poir., Lomaria penna-marina (Poir.) Mett., Austroblechnum penna-marina (Poir.) Gasper & V.A.O. Dittrich",Hierba perenne,Nativa,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",3-1500 m.,Argentina y Bolivia,Pinque,-
Blechnum schottii (Colla) C. Chr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/27.png?itok=4luyDWen,Blechnaceae,"Lomaria schottii Colla, Lomaria bella Phil., Lomaria fernandeziana Phil., Lomaridium schottii (Colla) Gasper & V.A.O. Dittrich",Hierba trepadora perenne,Endémica,Juan Fernández (JFE),50-820 m.,-,-,-
"Blechnum x rodriguezii Aguiar, Quintanilla & Amigo",-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/28.png?itok=RZ9ylQZb,Blechnaceae,"Austroblechnum x rodriguezii (Aguiar, Quintanilla & Amigo) Gasper & V.A.O. Dittrich",Hierba perenne,Endémica,"Los Ríos (LRI), Los Lagos (LLA)",150-585 m.,-,-,Híbrido natural entre Blechnum corralense y Blechnum mochaenum
Doodia paschalis C. Chr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/29.png?itok=_4tmdyVA,Blechnaceae,Blechnum paschale (C. Chr.) Christenh.,Hierba perenne,Endémica,Rapa Nui (IPA),100-100 m.,-,Nehe nehe,-
Cystopteris apiiformis Gand.,http://catalogoplantas.udec.cl/sites/default/files/30_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/30_1.jpg?itok=nIYK7gFY,Cystopteridaceae,Cystopteris fragilis (L.) Bernh. var. apiiformis (Gand.) C. Chr.,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-3500 m.,Argentina,-,-
Dennstaedtia glauca (Cav.) C. Chr. ex Looser,http://catalogoplantas.udec.cl/sites/default/files/32_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/32_1.jpg?itok=otUTx2SQ,Dennstaedtiaceae,"Dicksonia lambertieana J. Remy, Davallia glauca Cav., Dennstaedtia lambertiana (J. Remy) H. Christ",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",300-2360 m.,"Argentina, Bolivia y Perú",-,-
Histiopteris incisa (Thunb.) J. Sm.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/33.png?itok=2A6olmsl,Dennstaedtiaceae,"Pteris incisa Thunb., Litobrochia incisa (Thunb.) C. Presl, Pteris flavescens Colla, Pteris patens Kunze, Pteris vespertilionis Labill. var. flavescens (Colla) J. Agardh, Litobrochia appendiculata (Kaulf.) J. Remy, Litobrochia patens (Kunze) J. Remy, Histiopteris incisa (Thunb.) J. Sm. var. flavescens (Colla) C. Chr., Pteris vespertilionis auct. non Labill.",Hierba perenne,Nativa,"Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",5-580 m.,Perú,-,-
Hypolepis poeppigii (Kunze) R.A. Rodr.,http://catalogoplantas.udec.cl/sites/default/files/34_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/34_1.jpg?itok=_4XcT4fh,Dennstaedtiaceae,"Polypodium poeppigii Kunze, Phegopteris poeppigii (Kunze) Fée ex J. Remy, Phegopteris sturmii Phil., Hypolepis rugosula (Labill.) J. Sm. var. poeppigii (Kunze) C. Chr. & Skottsb., Cystopteris fragilis (L.) Bernh. var. pubescens Phil., Hypolepis poeppigiana Mett., Hypolepis chilensis Fée, Phegopteris poeppigii (Kunze) Fée var. hirsuta Phil.",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",25-650 m.,Argentina,"Wilel-lawen, pesebre",-
Microlepia strigosa (Thunb. ex Murray) C. Presl,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/35.png?itok=UCxGyQgX,Dennstaedtiaceae,Trichomanes strigosus Thunb. ex Murray,Hierba perenne,Nativa,Rapa Nui (IPA),100-300 m.,-,-,-
Dicksonia berteroana (Colla) Hook.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/36.png?itok=cuJsjmfw,Dicksoniaceae,"Davallia berteroana Colla, Balantium berteroanum Kunze",Arbusto o árbol pequeño,Endémica,Juan Fernández (JFE),200-700 m.,-,-,-
Dicksonia externa C. Chr. & Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/37_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/37_1.jpg?itok=RQxXlOMb,Dicksoniaceae,Dicksonia berteriana (Colla) Hook. var. virgata C. Chr. & Skottsb.,Arbusto o árbol pequeño,Endémica,Juan Fernández (JFE),200-700 m.,-,-,-
Lophosoria quadripinnata (J.F. Gmel.) C. Chr.,http://catalogoplantas.udec.cl/sites/default/files/38_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/38_1.jpg?itok=U1x4TYjz,Dicksoniaceae,"Polypodium quadripinnatum J.F. Gmel., Polypodium pruinatum Sw., Polypodium cinereum Cav., Cyathea discolor Bory, Alsophila pruinata (Sw.) Kaulf. ex Kunze, Lophosoria pruinata (Sw.) C. Presl, Lophosoria quadripinnata (J.F. Gmel.) C. Chr. fma. viridifolia G. Kunkel",Subarbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",5-2000 m.,"Argentina, Bolivia y Perú","Palmita, palmilla, helecho o palmita de Valdivia, ampe",-
Thyrsopteris elegans Kunze,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/39.png?itok=w2KVN8-x,Dicksoniaceae,"Dicksonia elegans (Kunze) Mett., Panicularia berteri Colla",Subarbusto,Endémica,Juan Fernández (JFE),700-1000 m.,-,-,-
Dryopteris filix-mas (L.) Schott,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/40.png?itok=qw9Hay_L,Dryopteridaceae,"",Hierba perenne,Introducida,Los Lagos (LLA),-,-,-,-
Dryopteris karwinskyana (Mett.) Kuntze,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/41.png?itok=tMBeViW6,Dryopteridaceae,"Aspidium karwinskyanum Mett., Dryopteris espinosai Hicken, Thelypteris espinosae (Hicken) R.A. Rodr.",Hierba perenne,Nativa,Rapa Nui (IPA),420 m.,-,-,Considerado extinto en Rapa Nui (Isla de Pascua) por Jean-Yves Meyer (2013) porque no ha sido observado o recolectado desde hace más de 75 años
Elaphoglossum fonkii (Phil.) T. Moore,http://catalogoplantas.udec.cl/sites/default/files/42_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/42_1.jpg?itok=Z2dB04Dr,Dryopteridaceae,"Elaphoglossum mathewsii auct. non (Fée) T. Moore, Acrostichum fonkii Phil.",Hierba saxícola perenne,Endémica,"Los Ríos (LRI), Los Lagos (LLA)",0-800 m.,-,-,-
Elaphoglossum gayanum (Fée) T. Moore,http://catalogoplantas.udec.cl/sites/default/files/43_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/43_1.jpg?itok=BqEeJ7ph,Dryopteridaceae,Acrostichum gayanum Fée,Hierba perenne,Nativa,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-3000 m.,Argentina y Bolivia,-,-
Elaphoglossum lindenii (Bory ex Fée) T. Moore,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/44.png?itok=BPCXWeNN,Dryopteridaceae,"Elaphoglossum squamatum auct. non. (Sw.) T. Moore, Acrostichum squamosum Cav., Acrostichum lindenii Bory ex Fée",Hierba perenne,Nativa,Juan Fernández (JFE),400 m.,Bolivia y Perú,-,-
Elaphoglossum porteri Hicken,http://catalogoplantas.udec.cl/sites/default/files/45_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/45_1.jpg?itok=M2ciDZK0,Dryopteridaceae,Elaphoglossum rudolphii Espinosa,Hierba perenne,Nativa,Los Lagos (LLA),600-900 m.,Argentina,-,-
Elaphoglossum skottsbergii Krajina,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/46.png?itok=edjyEY6Y,Dryopteridaceae,"Elaphoglossum gayanum auct. non (Fée) T. Moore, Elaphoglossum tahitense auct. non Brack.",Hierba perenne,Endémica,Rapa Nui (IPA),400-500 m.,-,-,-
"Megalastrum glabrius (C. Chr. & Skottsb.) Sundue, Rouhan & R.C. Moran",-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/47.png?itok=uqWtOaNh,Dryopteridaceae,"Dryopteris inaequalifolia (Colla) C. Chr. var. glabrior C. Chr. & Skottsb., Ctenitis inaequalifolia (Colla) Ching var. glabrior (C. Chr. & Skottsb.) G. Kunkel, Megalastrum inaequalifolium (Colla) A.R. Sm. & R.C. Moran var. glabrius (C. Chr. & Skottsb.) R.A. Rodr.",Hierba perenne,Endémica,Juan Fernández (JFE),200-600 m.,-,-,-
Megalastrum inaequalifolium (Colla) A.R. Sm. & R.C. Moran,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/48.png?itok=AkG4WGAg,Dryopteridaceae,"Polypodium inaequalifolium Colla, Dryopteris villosa (L.) Kuntze var. berteroana (Hook.) C. Chr., Dryopteris skottsbergii C. Chr., Dryopteris inaequalifolia (Colla) C. Chr., Ctenitis inaequalifolia (Colla) Ching",Hierba perenne,Endémica,Juan Fernández (JFE),200-600 m.,-,-,-
"Megalastrum masafuerae Sundue, Rouhan & R.C. Moran",-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/49.png?itok=bAuLrrD-,Dryopteridaceae,"",Hierba perenne,Endémica,Juan Fernández (JFE),100 m.,-,-,-
Megalastrum spectabile (Kaulf.) A.R. Sm. & R.C. Moran,http://catalogoplantas.udec.cl/sites/default/files/50_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/50_1.jpg?itok=qGgq5axI,Dryopteridaceae,"Megalastrum spectabile (Kaulf.) A.R. Sm. & R.C. Moran var. philippianum (C. Chr.) A.R. Sm. & R.C. Moran, Polypodium spectabile Kaulf., Dryopteris spectabilis (Kaulf.) C. Chr., Ctenitis spectabilis (Kaulf.) G. Kunkel, Dryopteris spectabilis (Kaulf.) C. Chr. var. philippiana C. Chr., Ctenitis spectabilis (Kaulf.) G. Kunkel var. philippiana (C. Chr.) R.A. Rodr., Polypodium contractum Desv.",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-900 m.,Argentina,Pesebre,-
Polystichum andinum Phil.,http://catalogoplantas.udec.cl/sites/default/files/51_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/51_1.jpg?itok=Zalq3Xth,Dryopteridaceae,"",Hierba perenne,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-4000 m.,Argentina,-,-
Polystichum chilense (Christ) Diels var. chilense,http://catalogoplantas.udec.cl/sites/default/files/52_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/52_1.jpg?itok=y4PxBYx1,Dryopteridaceae,"Polystichum bridgesii Schott, Aspidium aculeatum (L.) Sw. var. chilensis C. Chr., Aspidium bridgesii (Schott) J.W. Sturm, Aspidium paucicuspis J.W. Sturm, Polystichum aculeatum (L.) Schott var. chilense (H. Christ) C. Chr.",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1300 m.,Argentina,Pelomén-lahuén,-
